CODIGO,NOMBRES Y APELLIDOS,ESCUELA PROFESIONAL,PUNTAJE,ORDEN DE MÉRITO,RESULTADO
198431,,,,,ALCANZÓ VACANTE
181051,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
133126,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
849398,,,,,
866876,,,,,
864687,,,,,
865550,,,,,
854853,,,,,
898862,,,,,
860836,,,,,
880634,,,,,
859437,,,,,
873638,,,,,
873925,,,,,
871633,,,,,
867255,,,,,
873134,,,,,ALCANZÓ VACANTE
895138,,,,,ALCANZÓ VACANTE
852772,,,,,
880679,,,,,
895938,,,,,
894806,,,,,
882426,,,,,
894631,,,,,
888346,,,,,
884868,,,,,
875520,,,,,
891497,,,,,
878453,,,,,
884173,,,,,
862807,,,,,
848561,,,,,
874697,,,,,
882370,,,,,
883332,,,,,
880338,,,,,
892223,,,,,
864006,,,,,
864864,,,,,
882231,,,,,
872310,,,,,
874310,,,,,
853448,,,,,
850050,,,,,
864343,,,,,
849255,,,,,
855062,,,,,
647413,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
326548,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
341843,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
372774,,,,,
325770,,,,,
398674,,,,,
333998,,,,,
377674,,,,,
394194,,,,,
323622,,,,,
372283,,,,,ALCANZÓ VACANTE
362098,,,,,
313384,,,,,
348430,,,,,
328802,,,,,
370752,,,,,ALCANZÓ VACANTE
386527,,,,,
353052,,,,,
355903,,,,,ALCANZÓ VACANTE
316369,,,,,
315433,,,,,ALCANZÓ VACANTE
367864,,,,,
375038,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
367874,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
380239,,,,,
317446,,,,,ALCANZÓ VACANTE
323910,,,,,
